temperature_2_m_above_gnd,relative_humidity_2_m_above_gnd,mean_sea_level_pressure_MSL,total_precipitation_sfc,snowfall_amount_sfc,total_cloud_cover_sfc,high_cloud_cover_high_cld_lay,medium_cloud_cover_mid_cld_lay,low_cloud_cover_low_cld_lay,shortwave_radiation_backwards_sfc,wind_speed_10_m_above_gnd,wind_direction_10_m_above_gnd,wind_speed_80_m_above_gnd,wind_direction_80_m_above_gnd,wind_speed_900_mb,wind_direction_900_mb,wind_gust_10_m_above_gnd,angle_of_incidence,zenith,azimuth,generated_power_kw
7.45,77,1003.4,1.5,0,100,0,100,100,276.79,6.49,109.44,7.29,122.91,6.79,122.01,10.08,31.723768,48.786356,223.55217,7.1075
6.62,84,1002.6,1.7,0,100,0,100,100,216.27,8.85,26.57,10.95,27.41,10.14,27.47,10.8,46.555537,57.613368,238.76954,9.3633974
2.51,93,1005.2,2,1.68,100,0,100,100,88.11,16.18,339.15,19.13,340.2,16.98,338.88,16.2,61.456753,67.870921,251.12263,0.27835317
1.72,96,1005.2,0,0,100,0,100,100,0,13.28,32.83,18.34,46.59,14.08,32.47,24.48,88.522464,87.785874,89.878916,27.660556
2.2,94,1006.2,0,0,100,0,100,100,18.69,12.77,21.5,16.08,34.05,12.43,22.11,20.88,73.768299,76.738747,99.837628,260.85006
3.1,92,1005.8,0,0,100,0,100,100,138.84,13.14,9.46,13.01,14.42,12.73,8.13,20.16,58.863079,65.811848,110.68852,516.37833
4.37,88,1006.4,0,0,100,0,26,100,289.25,12.43,22.11,12.4,25.82,11.77,23.43,21.6,43.981079,55.702249,123.43475,626.12122
7.12,82,1004.7,0.5,0,100,0,23,100,439.66,19.8,27.03,20.95,28.77,20.14,28.86,25.56,29.199532,47.168028,139.28545,298.40836
7.68,80,1004.2,0.7,0,100,0,0,100,302.6,30.75,25.67,32.36,27.14,31.24,27.45,33.12,14.899849,41.333094,159.15237,219.53748
7.43,87,1005.6,0,0,100,0,72,100,244.75,36.93,46.97,40.27,47.9,36.2,48.22,39.96,7.219016,39.465799,182.23451,109.12147
7.39,85,1005.3,0.1,0,100,0,70,100,319.51,39.82,37.28,44.87,38.16,40.26,38.1,43.56,17.396334,42.094133,204.75086,202.1585
7.64,81,1005.8,0.1,0,100,0,30,100,258.1,41.11,37.17,47.24,37.57,41.4,36.87,44.64,31.869126,48.490422,223.91126,85.974686
8.17,78,1005.9,0,0,100,0,10,100,266.11,41.84,33.42,48.03,33.69,42.14,33.15,45.36,46.679587,57.36258,239.14047,116.51056
7.14,77,1006.2,0,0,100,0,10,100,253.65,41.18,31.05,47.66,31.41,41.31,30.36,44.64,61.484105,67.588334,251.41998,39.148023
-3.32,92,1013.4,0,0,100,0,0,100,0,29.38,352.96,35.67,357.69,28.94,354.29,44.28,100.16347,96.485564,82.094987,6.3583333
-3.49,92,1013.1,0,0,100,0,0,100,0,30.06,353.81,37.48,357.25,29.66,354.43,45.72,88.480866,87.476735,89.629042,368.43005
-2.5,91,1013,0,0,100,0,0,100,30.26,34.59,357.61,38.88,359.47,34.94,358.23,46.08,73.72891,76.422767,99.586405,1005.7376
-1.38,82,1013.2,0,0,100,0,0,100,174.44,38.94,3.18,41.14,4.01,38.96,3.71,54.72,58.830151,65.481795,110.43999,1120.8914
-0.2,76,1013.2,0,0,10,0,0,10,193.13,42.06,6.88,44.34,7.93,41.8,7.92,55.44,43.961345,55.350563,123.20341,1637.6355
0.81,67,1012,0,0,48,0,0,48,247.42,44.92,9.69,47.59,10.46,44.63,10.22,58.68,29.208303,46.789744,139.10957,2142.2057
1.58,63,1011.8,0,0,49,0,0,49,283.91,46.2,13.06,49.33,13.93,46.01,14.04,60.48,15.001054,40.935407,159.10239,1305.8351
2.88,61,1012.6,0,0,20,0,0,20,425.42,53.1,10.55,55.35,10.87,52.46,11.08,65.16,7.5422315,39.074226,182.26037,1723.1202
3.35,59,1012.3,0,0,45,0,0,45,381.81,51.02,8.93,52.62,9.85,50.07,9.94,70.56,17.608201,41.746346,205.04336,1995.2404
3.76,57,1012.4,0,0,100,0,0,100,378.25,53.53,12.82,55.88,13.41,52.92,13.37,82.44,32.018569,48.19625,224.27351,1689.6365
3.92,55,1012.2,0,0,10,0,0,10,354.22,54.67,12.94,57.37,13.43,54.4,13.39,84.24,46.806198,57.113496,239.51324,997.45909
4.03,55,1012.2,0,0,35,0,0,35,280.35,55.29,12.41,58.69,12.76,54.94,12.49,68.04,61.685696,67.432051,251.84802,507.43333
3.76,57,1012.6,0,0,10,0,0,10,226.06,54.94,15.58,59.49,15.8,54.94,15.58,84.96,73.607072,76.20719,260.46592,27.297123
-1.34,78,1021.9,0,0,97,5,97,43,0,26.67,328.24,32.36,334.29,27.73,330.44,39.24,100.73023,96.624852,81.430521,6.5301802
-0.66,73,1022.2,0,0,100,1,57,100,0,29.35,326.5,32.87,331.19,29.08,328.67,39.6,88.441247,87.170996,89.379697,121.87213
-0.21,75,1022.8,0,0.14,100,3,100,100,21.36,31.45,326.67,33.4,329.57,30.87,328.35,38.52,73.690026,76.107259,99.335157,450.78138
0.6,82,1023.2,0.1,0.42,100,35,0,100,131.72,31.45,326.67,32.48,328.6,31.06,327.78,40.68,58.798652,65.152482,110.19082,871.6075
2.25,80,1023.5,0.1,0.56,100,44,30,100,222.5,31.26,324.85,32.45,326.31,31.06,325.39,40.68,43.944261,54.999726,122.9708,875.37472
4.32,72,1022.5,0,0,100,76,48,100,364.01,36.45,317.8,37.97,317.69,36.42,317,46.8,29.22186,46.412244,138.9322,960.74139
5.37,74,1021.8,0.1,0,100,49,64,100,420.97,38.45,313.86,39.46,314.63,37.68,314.23,48.6,15.111784,40.538379,159.05217,813.86954
5.98,85,1019.9,0.4,0,100,33,4,100,170.88,24.49,311.42,27.78,312.37,22.18,311.71,41.04,7.8841805,38.685736,182.39881,531.99432
9.11,78,1018.9,0.1,0,100,5,0,100,341.76,29.81,317.45,32.89,318.11,27.27,317.68,45.36,17.826312,41.400033,205.33972,270.46316
11.17,72,1018.5,0,0,100,3,0,100,639.91,31.67,319.61,36.32,320.63,29.69,320.91,47.52,32.171913,47.903901,224.63878,326.12917
12.26,69,1017.6,0,0,100,16,0,100,566.04,32.06,325.06,37.05,325.69,30.06,325.74,46.44,46.935239,56.866152,239.88772,140.42278
12.29,71,1018.4,0,0,100,10,0,100,509.97,31.85,325.59,37.84,325.86,30.06,325.74,48.6,61.802405,67.214717,252.21185,370.65444
10.59,82,1019.1,0,0,100,7,0,100,185.12,26.37,327.83,34.88,328.93,25.68,328.76,41.76,72.47701,75.072788,259.96948,5.9262821
4.55,96,1027.9,0,0,0,0,0,0,0,21.27,326.04,28.53,330.52,20.99,329.04,29.88,61.209215,66.557956,107.98492,1.7159452
4.34,96,1028.4,0,0,0,0,0,0,0,20.47,325.75,27.73,330.44,20.19,328.86,29.88,61.209215,66.557956,107.98492,87.292352
5.36,94,1029.2,0,0,0,0,0,0,42.72,21.27,326.04,27.42,330.07,20.68,328.52,31.68,61.209215,66.557956,107.98492,290.58443
6.92,89,1029.1,0,0,0,0,0,0,221.61,25.12,334.54,29.08,338.2,24.07,338.04,36.36,57.926698,64.208287,110.56926,665.51778
8.8,80,1029.1,0,0,0,0,0,0,405.84,27.79,343.44,31.87,346.28,26.28,346.53,38.52,43.929888,54.649923,122.73699,492.76944
10.35,72,1028.6,0,0,0,0,0,0,565.15,30.06,353.81,33.93,355.74,28.5,356.38,39.24,29.240247,46.035749,138.7534,140.00306
4.75,96,1031.3,0,0,5,0,0,5,0,4.1,254.74,17.94,308.48,4.55,198.43,12.24,102.11023,97.085764,79.932079,4.7921769
5.35,90,1030.3,0,0,0,0,0,0,0,3.96,270,18.84,316.55,5.09,225,11.16,88.368477,86.570528,88.882611,414.80171
6.94,81,1030.2,0,0,0,0,0,0,48.06,3.6,270,17.58,317.49,5.15,257.91,12.24,73.61409,75.478231,98.832596,1245.102
11.3,71,1028.9,0,0,0,0,0,0,234.07,4.39,325.01,15.7,323.39,3.32,319.4,12.24,58.740219,64.496629,109.69053,1936.7731
15.27,58,1028.3,0,0,0,0,0,0,421.86,12.1,329.62,14.28,326.31,13.09,328.5,15.48,43.918275,54.301146,122.50162,2405.682
16.92,48,1027,0,0,0,0,0,0,583.84,14.49,333.43,15.78,332.85,14.18,336.04,18,29.263435,45.66013,138.57267,2798.8026
17.88,45,1027.2,0,0,0,0,0,0,708.44,16.39,340.77,17.19,340.43,15.83,342.8,19.8,15.360568,39.746773,158.95064,2857.0071
18.08,38,1028.1,0,0,2.4,8,0,0,772.52,12.43,349.99,12.85,348.69,12.02,351.38,15.48,8.5794352,37.911809,182.68288,2842.0558
19.17,36,1027.4,0,0,0,0,0,0,801.89,13.8,344.88,14.24,343.86,13.36,345.96,16.92,18.279591,40.712152,205.94367,2597.9899
19.64,34,1027.1,0,0,0,0,0,0,773.41,15.95,331.7,16.43,331.19,14.97,332.82,18.36,32.489543,47.32489,225.37785,2171.1956
19.41,34,1026.5,0,0,0,0,0,0,688.86,18.72,322.03,19.73,321.67,17.71,322.43,24.48,47.200062,56.376798,240.64117,1499.2858
18.85,36,1025.9,0,0,0,0,0,0,559.81,20.15,318.62,22.18,318.29,18.9,319.64,23.04,62.039719,66.784322,252.94112,594.12119
17.84,39,1025.8,0,0,0,0,0,0,392.49,20.7,319.94,24.57,320.95,20.75,321.34,25.92,73.941703,75.601527,261.52892,35.945833
4.45,93,1030.2,0,0,8,0,0,8,0,9,323.13,22.33,339.23,6.44,296.57,19.8,102.04937,96.750425,79.685035,4.4904762
4.2,99,1030.6,0,0,0,0,0,0,0,6.7,323.75,16.86,343.89,5.35,289.65,19.08,88.334822,86.275116,88.634872,387.12615
5.75,84,1030.5,0,0,3,10,0,0,57.85,5,329.74,13.32,358.45,6.03,287.35,19.08,73.577204,75.164996,98.581285,897.60474
9.04,66,1029.4,0,0,0,0,0,0,244.75,9.72,360,11.9,356.53,10.14,353.88,16.56,58.713429,64.170369,109.43939,1004.3757
11.34,55,1029.7,0,0,1.2,4,0,0,432.54,12.24,360,12.96,358.41,11.89,358.26,18,43.909492,53.953686,122.26498,2034.4893
13.38,46,1027.9,0,0,7.8,26,0,0,593.63,15.84,360,16.58,357.51,14.76,360,20.52,29.291491,45.28579,138.39035,2763.0826
14.8,45,1027.5,0,0,23.4,78,14,0,698.65,18.03,356.57,19.16,354.61,16.95,356.35,22.68,15.497985,39.352442,158.89911,2228.0774
15.94,39,1026.9,0,0,4,1,4,0,788.54,17.37,354.05,18.13,353.16,16.26,354.92,19.44,8.9316005,37.526581,182.82832,2186.9103
16.96,35,1026.3,0,0,0.6,2,0,0,822.36,16.26,354.92,17.02,353.93,15.88,356.1,18.72,18.513941,40.370749,206.25103,2516.2902
17.62,32,1026.1,0,0,30,100,0,0,776.97,16.66,353.8,17.37,354.05,16.26,354.92,19.44,32.56077,46.985523,225.64411,1070.2377
17.82,32,1025.7,0,0,100,100,100,0,626.56,17.87,350.73,18.94,351.25,17.11,351.53,21.96,47.335557,56.134837,241.01985,1179.3527
17.89,32,1025.3,0,0,82,100,82,0,547.35,17.56,344.54,18.69,344.36,16.77,345.07,21.6,62.191587,66.594665,253.32904,477.62872
17.18,35,1025.2,0,0,19,5,19,0,380.92,18.12,339.04,20.73,339.68,18.12,339.04,21.6,73.806538,75.214798,261.71393,22.832843
7.21,67,1029.4,0,0,0,0,0,0,0,4.68,270,13.78,310.76,4.02,243.43,12.24,101.47094,96.024236,79.782542,23.744074
6.97,65,1029.2,0,0,0,0,0,0,0,5.51,281.31,16.29,315,4.38,260.54,12.6,88.218507,85.919812,88.444165,294.45087
8.92,61,1029.8,0,0,0,0,0,0,54.29,6.3,300.96,21.17,318.45,8.89,301.76,13.68,73.541152,74.852805,98.32995,945.63214
13.04,52,1029.1,0,0,0,0,0,0,240.3,10.3,323.53,15.48,324.46,12.98,313.88,16.2,58.688353,63.845406,109.18757,1655.5333
15.7,36,1028.8,0,0,0,0,0,0,426.31,14.88,327.85,17.08,325.3,15.28,325.56,18,43.90359,53.607631,122.02692,2460.5933
16.93,33,1028.9,0,0,0,0,0,0,585.62,17.07,335.06,18.03,333.95,16.27,335.14,18.36,29.225559,44.86215,138.33555,2745.8985
17.81,32,1028.7,0,0,0,0,0,0,709.33,16.07,344.41,16.42,344.74,15.28,344.98,18.36,15.643641,38.959247,158.84691,2885.0596
18.74,24,1028.1,0,0,0,0,0,0,786.76,20.78,345.96,21.92,345.74,20,346.46,26.64,9.2860828,37.142637,182.97591,2820.1377
19.65,24,1027.8,0,0,0,0,0,0,806.34,19.73,345.2,21.13,346.2,19.21,347.01,25.92,18.752897,40.031133,206.56182,2570.0332
20.22,25,1027.9,0,0,1.8,6,0,0,763.62,18.45,342.98,19.59,342.9,17.65,343.41,23.4,32.82045,46.753794,226.12729,2119.1084
20.46,26,1027.1,0,0,0.9,3,0,0,679.96,17.78,338.63,18.79,339.83,16.85,340.02,23.04,47.472912,55.894709,241.39961,1463.5934
20.33,28,1026.7,0,0,0.6,2,0,0,558.03,16.9,333.43,18.03,333.95,16.1,333.43,21.24,62.28141,66.359666,253.67154,632.30069
19.63,31,1026.8,0,0,0,0,0,0,393.38,15.68,328.13,17.29,328.63,14.69,329.04,16.56,74.662793,75.57753,262.57354,25.66378
7.6,57,1030.1,0,0,0,0,0,0,0,6.49,289.44,12.86,342.07,8.67,274.76,16.2,102.66677,96.63898,78.697855,7.4369697
7.15,52,1030.2,0,0,0,0,0,0,0,6.38,286.39,12.22,346.37,9.01,272.29,17.28,88.269994,85.689773,88.140987,414.33761
7.99,50,1031.2,0,0,0,0,0,0,62.3,6.52,276.34,13,318.37,9.42,276.58,18,73.506017,74.541801,98.078587,1242.1246
11.56,42,1031.1,0,0,0,0,0,0,259.88,7.7,322.59,11.21,317.6,8.91,316.64,17.28,58.665062,63.52188,108.93506,1977.6512
14.45,24,1030.8,0,0,0,0,0,0,453.01,12.37,351.63,13.56,349.29,12.78,350.27,19.44,43.900624,53.263122,121.78741,2467.4836
15.51,24,1030.7,0,0,0,0,0,0,615.88,17.31,3.58,18.42,4.48,17.34,4.76,19.08,29.36219,44.541213,138.02018,2676.6376
16.63,28,1030,0,0,0,0,0,0,737.81,19.65,8.43,21.08,7.85,19.65,8.43,20.88,15.797199,38.567306,158.79393,2951.6153
19,31,1028.1,0,0,0,0,0,0,804.56,17.11,8.47,17.87,9.27,16.39,8.84,16.92,9.6424268,36.76007,183.12552,2840.5825
19.81,30,1027.2,0,0,8.1,27,0,0,821.47,16.6,12.53,17.03,13.45,15.54,13.39,16.56,18.996071,39.693375,206.87592,2529.9274
20.36,32,1026.9,0,0,0.6,2,0,0,784.98,15.89,13.09,16.33,14.04,14.84,14.04,16.56,32.990376,46.471318,226.50552,2189.2986
20.49,33,1026.6,0,0,0,0,0,0,705.77,17.65,11.77,18.43,12.41,16.95,12.26,18,47.611977,55.656428,241.78031,1516.5812
20.12,33,1026.4,0,0,0,0,0,0,574.05,18.51,13.5,20.08,14.53,18.25,14.86,18.36,62.403582,66.149493,254.03683,663.24186
19.13,34,1026,0,0,0,0,0,0,404.95,18.51,13.5,21.22,14.74,17.9,15.15,19.44,74.899587,75.473929,263.01028,24.531707
3.05,94,1032.2,0,0,100,0,0,100,0,5.48,23.2,9.29,35.54,4.32,360,21.24,102.85315,96.493611,78.288305,11.032749
2.52,94,1033,0,0,100,0,0,100,0,6.49,19.44,10,30.26,5.05,4.09,24.48,88.237683,85.39826,87.894834,447.66534
3.19,89,1033.5,0,0,100,0,0,100,58.74,7.24,5.71,8.91,14.04,6.49,356.82,24.48,73.471883,74.232126,97.827193,1290.326
5.87,75,1032.3,0,0,3,0,0,3,258.1,10.83,15.42,12.41,16.86,11.09,13.13,19.44,58.643626,63.19993,108.68184,2020.3884
8.21,65,1032,0,0,0,0,0,0,447.67,14.33,25.28,15.62,25.97,14.51,23.39,17.64,43.900644,52.920297,121.54639,2535.9097
10.76,53,1030.5,0,0,0,0,0,0,606.98,16.87,33.69,18.37,34.62,16.68,32.66,19.8,29.404832,44.171245,137.83214,2860.7291
12.97,44,1029.7,0,0,0,0,0,0,728.91,18.58,35.54,20.09,36.25,18.58,35.54,19.44,15.958318,38.176735,158.74003,2964.7868
14.56,39,1029.6,0,0,0,0,0,0,808.12,20.09,36.25,21.6,36.87,20.09,36.25,20.52,10.000219,36.378975,183.27706,2882.3406
15.49,35,1028.6,0,0,0,0,0,0,831.26,20.02,37.69,21.03,38.05,19.51,37.5,19.08,19.243085,39.357542,207.19321,2645.7264
16.16,32,1028.2,0,0,0,0,0,0,799.22,18.95,38.83,19.96,39.14,18.44,38.66,18.36,33.163009,46.190938,226.88588,2190.4372
16.48,30,1027.5,0,0,0,0,0,0,712,18.44,38.66,19.68,39.81,17.94,38.48,16.92,47.752598,55.420004,242.16177,1483.3401
16.17,29,1027.1,0,0,0,0,0,0,582.06,19.08,35.79,20.81,37.27,18.29,36.19,16.92,62.526467,65.940752,254.40197,637.58692
15.08,32,1027,0,0,4.8,16,0,0,412.96,19.17,34.29,21.89,36.3,18.88,34.9,18.36,75.383718,75.559098,263.61353,20.239352
3.3,34,1029.4,0,0,0,0,0,0,0,6.92,231.34,2.52,360,8.37,244.54,4.68,102.92297,96.26251,77.958506,22.50977
3.23,29,1028.6,0,0,0,0,0,0,0,7.2,216.87,0.72,360,7.93,230.53,3.6,88.20501,85.106924,87.6492,453.44921
5.21,28,1028.9,0,0,0,0,0,0,70.31,7.15,220.91,1.14,251.57,7.2,233.13,1.8,73.438833,73.92392,97.575765,1267.1514
9.59,31,1027.2,0,0,0,0,0,0,265.22,2.74,246.8,1.8,270,3.24,270,7.92,58.624113,62.879696,108.4279,1930.9045
13.12,26,1026.5,0,0,0.9,3,0,0,455.68,4.61,38.66,5.62,39.81,5.19,33.69,9.36,43.903697,52.579297,121.30383,2486.0261
15.49,23,1024.9,0,0,3.9,13,0,0,615.88,10.44,43.6,11.72,47.49,11.2,45,13.32,29.452322,43.803003,137.64201,2776.8061
16.75,26,1024.5,0,0,4.5,15,0,0,734.25,13.61,37.48,14.57,39.99,13.83,38.66,14.04,16.044646,37.757563,158.83813,2859.7307
18.1,22,1024.4,0,0,5.4,18,0,0,817.02,8.89,31.76,9.09,33.69,9.09,33.69,8.64,10.359084,35.999442,183.43039,2822.1077
18.58,24,1023.2,0,0,30,100,0,0,799.22,11.79,31.26,11.89,35.13,11.38,34.7,10.8,19.493573,39.0237,207.51354,2550.4818
19.15,25,1023.3,0,0,0,0,0,0,777.86,12.68,34.59,12.89,35.91,12.39,35.54,11.16,33.338144,45.912688,227.26819,1991.6871
19.28,26,1022.7,0,0,0,0,0,0,713.78,13.28,32.83,13.78,33.27,13.28,32.83,11.52,47.894623,55.185446,242.54385,1376.3088
18.89,27,1022,0,0,0.9,3,0,0,583.84,13.39,36.25,14.11,37.75,13.39,36.25,11.16,62.649936,65.733438,254.76682,473.10799
18.07,30,1021.9,0,0,1.5,5,0,0,419.19,14.26,42.95,15.78,45,14.51,43.99,11.52,74.858462,74.879483,263.53331,29.267865
7.54,48,1021.6,0,0,100,100,100,0,0,13.98,191.89,27.6,164.88,17.38,193.17,23.76,102.47029,95.640522,77.980316,18.433939
7.67,43,1021.4,0,0,59,100,59,0,0,14.26,190.18,27.96,168.11,17.65,191.77,21.96,88.171901,84.815675,87.404082,463.9205
10.39,36,1021.3,0,0,100,100,100,0,73.87,14.42,182.86,26.12,168.07,14.8,184.18,21.6,73.406949,73.617326,97.324299,1012.4864
13.89,25,1020.1,0,0,100,97,100,0,260.77,15.63,172.06,19.35,170.36,15.94,173.52,17.64,58.606589,62.561315,108.17323,1580.3163
16.16,24,1019.9,0,0,100,100,100,0,422.75,15.48,162.41,17.31,163.07,15.73,164.05,16.2,43.909826,52.240261,121.05968,1852.0908
17.65,25,1018.7,0,0,100,100,100,0,532.22,14.69,162.9,16.17,163.18,14.59,164.25,14.76,29.504642,43.436623,137.4497,1877.7974
18.98,22,1017.8,0,0,100,100,100,0,631.01,14.59,164.25,15.28,164.98,14.49,165.62,14.76,16.301878,37.400172,158.62895,2126.2377
19.49,29,1018.1,0,0,100,35,100,0,636.35,4.39,34.99,3.83,41.19,3.83,41.19,6.12,10.718677,35.621563,183.58539,2445.8871
19.72,30,1017.2,0,0,100,24,100,0,583.84,9.01,2.29,9.03,4.57,8.67,4.76,8.64,19.747179,38.69191,207.83677,2303.6675
19.46,29,1017.2,0,0,100,18,100,0,484.16,11.57,354.64,11.54,356.42,10.81,358.09,10.08,33.515572,45.636599,227.65229,1779.6742
19.45,24,1016.8,0,0,100,39,100,0,406.73,12.6,360,12.61,1.64,11.89,1.74,11.52,48.037897,54.952757,242.92636,684.29286
19.96,23,1015.7,0,0,71,15,71,0,489.5,14.87,6.95,15.68,9.25,14.62,9.93,16.92,62.773857,65.527545,255.13123,97.36077
19.13,22,1015.5,0,0,41,0,41,0,414.74,14.06,2.94,15.19,5.44,13.76,6.01,15.84,74.497482,74.32506,263.56102,6.387619
-0.48,88,1019.8,0,0,2,0,0,2,0,8.09,339.15,14.51,7.13,10.5,337.83,15.84,103.04462,95.793915,77.317206,18.831473
0.14,93,1019.5,0,0,100,0,0,100,0,9.78,353.66,14.8,4.18,10.18,351.87,24.12,88.138414,84.524609,87.159475,463.50612
0.72,88,1020.6,0,0,100,0,0,100,69.42,10.46,3.95,11.9,3.47,10.46,3.95,23.04,73.37631,73.312482,97.072794,1302.6158
2.74,73,1019.6,0,0,37,0,0,37,271.45,11.37,10.95,11.66,8.88,11.01,11.31,20.88,58.591118,62.244925,107.91781,2005.9706
5.32,58,1018,0,0,0,0,0,0,468.14,13.44,20.38,13.57,21.8,12.98,19.44,21.24,43.91907,51.903327,120.81392,2487.1641
7.92,47,1016.6,0,0,0,0,0,0,630.12,16.12,29.43,16.98,32.01,15.63,28.93,20.16,29.561765,43.072238,137.25511,2818.3444
10.26,39,1014.8,0,0,0,0,0,0,754.72,17.67,33.37,18.67,34,17.48,32.38,21.24,16.483638,37.01441,158.57149,2940.5742
16.12,38,1012.9,0,0,0,0,0,0,813.46,14.02,41.88,14.51,43.99,14,43.96,12.96,11.07868,35.245425,183.74193,2852.2145
16.84,36,1012.4,0,0,0,0,0,0,833.93,15.78,45,15.79,46.85,15.53,45.94,14.76,20.003558,38.362234,208.16276,2607.0379
17.18,35,1011.7,0,0,0,0,0,0,800.11,16.56,47.64,16.6,49.4,15.82,48.69,16.2,33.689453,45.360719,228.02735,2159.4315
17.21,34,1011.4,0,0,0,0,0,0,712.89,15.53,45.94,15.79,46.85,15.28,46.91,15.84,48.182265,54.721943,243.30915,1475.6098
16.98,32,1011.6,0,0,0,0,0,0,582.95,15.78,45,16.3,46.79,15.28,46.91,12.6,62.898102,65.323063,255.49505,643.55761
16.18,32,1011.4,0,0,0,0,0,0,414.74,15.53,45.94,16.83,48.47,15.55,47.82,12.24,75.845126,75.071154,264.74658,18.146392
4.11,74,1013.6,0,0,0,0,0,0,0,7.93,219.47,6.41,231.84,7.9,226.85,6.84,103.10521,95.562755,76.999483,21.656557
3.87,72,1013.4,0,0,0,0,0,0,0,7.99,215.84,6.62,225,8.16,221.42,6.48,88.104685,84.233927,86.915375,487.58154
6.13,63,1013.3,0,0,0,0,0,0,83.66,6.64,220.6,7.49,234.78,6.11,225,3.6,73.346996,73.009527,96.821249,1301.0222
10.44,53,1011.7,0,0,0,0,0,0,281.24,1.48,255.96,3.08,249.44,2.19,260.54,1.44,58.577762,61.930665,107.66165,1993.0516
13.61,42,1011,0,0,0,0,0,0,469.92,5.12,39.29,4.61,38.66,4.61,38.66,4.68,43.931465,51.568635,120.56651,2511.6848
15.53,35,1010.3,0,0,0,0,0,0,630.12,9.39,32.47,9.29,35.54,9.29,35.54,8.28,29.623656,42.709983,137.05815,2823.7859
16.77,34,1009.8,0,0,0,0,0,0,752.94,12.4,25.82,12.4,25.82,12.07,26.57,10.44,16.671602,36.630484,158.51255,2927.9754
17.76,35,1010.4,0,0,0,0,0,0,825.03,14.76,12.68,15.38,16.31,14.69,17.1,14.04,11.438801,34.871118,183.89988,2874.1014
18.04,33,1010,0,0,0,0,0,0,844.61,14.47,5.71,14.08,4.4,13.36,4.64,14.04,20.262375,38.034728,208.49134,2604.5209
18.42,30,1009.8,0,0,0,0,0,0,807.23,14.44,4.29,14.47,5.71,13.76,6.01,11.52,33.876482,45.091008,228.42516,2186.9598
18.32,30,1009.5,0,0,0,0,0,0,718.23,13.34,3.09,13.36,4.64,12.65,4.9,13.32,48.327573,54.493003,243.69205,1532.9348
18.04,29,1009.1,0,0,0,0,0,0,589.18,11.57,5.36,11.66,8.88,11.3,9.16,11.16,63.022538,65.119981,255.85813,677.14549
17.3,31,1009.1,0,0,0,0,0,0,420.08,10.74,13.57,11.28,16.7,10.59,17.82,10.8,75.833769,74.785183,265.01095,18.997783
4.67,94,1015.7,0,0,100,100,36,100,0,27.45,175.49,38.71,170.36,28.52,175.66,25.56,103.04437,95.242423,76.764653,61.526763
3.92,95,1016.6,0,0,79,0,0,79,0,28.31,172.69,38.97,168.27,28.94,174.29,33.84,88.070884,83.943881,86.671778,291.58536
5.59,85,1017,0,0,34,18,16,34,90.78,28.41,171.25,37.14,168.25,28,171.87,27.36,73.319083,72.708599,96.569662,1198.7506
7.46,77,1016.4,0,0,42,33,42,22,283.91,28.11,170.42,34.45,169.16,28,171.87,32.76,58.566579,61.61867,107.40473,2067.6887
9.38,70,1016.9,0,0,37,34,37,11,459.24,27.26,167.8,31.87,166.28,27.11,169.29,23.76,43.947042,51.23632,120.3174,2582.9049
11.55,63,1015.9,0,0,100,100,100,0,598.08,26.9,164.48,30.41,163.5,26.81,165.22,23.4,29.686613,42.348263,136.86476,2710.3849
13.28,57,1015.2,0,0,92,26,92,0,699.54,27.32,161.57,30.06,161.13,26.53,161.81,24.84,16.76611,36.207826,158.64709,2954.9119
15.38,49,1014.9,0,0,33,97,33,0,796.55,25.96,163.07,28.59,163.16,25.86,163.84,18.72,11.798769,34.498726,184.05908,2775.9501
16.27,45,1014.7,0,0,100,100,100,0,777.86,25.28,162.6,27.55,162.51,25.28,162.6,18.36,20.523308,37.709449,208.82237,2568.1236
16.76,45,1014.9,0,0,100,100,100,0,720.01,23.8,162.39,25.73,162.07,23.34,162.96,17.28,34.059551,44.821554,228.81357,2059.5733
16.9,46,1014.4,0,0,100,100,100,10,640.8,21.66,164.58,23.49,164.9,21.66,164.58,15.48,48.473664,54.265935,244.07488,1422.7079
16.8,47,1014.7,0,0,86,100,86,10,514.42,18.86,166.76,20.35,166.7,18.86,166.76,17.28,63.147037,64.918289,256.22033,519.10854
16.23,45,1015.6,0,0,34,29,34,10,387.15,17.56,164.54,19.39,164.93,17.46,165.68,16.92,75.822115,74.500084,265.27416,23.134496
3.69,72,1024,0,0,31,15,1,31,0,23.83,175.67,34.52,172.21,24.16,176.58,29.88,102.98459,94.925056,76.530772,33.632208
2.77,76,1024.8,0,0,14,2,0,14,0,22.39,175.39,34.98,171.12,23.8,176.53,25.56,88.037192,83.65474,86.428683,467.36701
5.08,70,1024.7,0,0,0,0,0,0,80.99,25.76,172.78,34.57,171.62,26.44,173.75,30.24,73.292647,72.409835,96.318037,1310.2292
6.46,66,1024.1,0,0,6.3,21,0,0,290.14,28.66,168.41,34.6,167.99,28.95,169.25,29.52,58.557627,61.309076,107.14705,2029.8187
7.97,55,1024.6,0,0,4.8,16,0,0,476.15,29.52,167.32,33.7,166.41,29.09,167.86,28.08,43.965829,50.90652,120.06657,2429.3202
9.52,49,1023.9,0,0,1.5,5,0,0,632.79,28.8,161.79,31.99,160.95,28.01,162.03,29.16,29.761573,41.992395,136.65676,2860.7503
